route,list,show,create,update,delete,backend_file
event-management-items,yes,no,no,no,no,event.routes.ts
event-managements,yes,no,no,no,no,event.routes.ts
event-package,yes,no,yes,yes,yes,event.routes.ts
event-packages,yes,no,yes,yes,yes,event.routes.ts
event-timeline/timeline,yes,no,no,no,no,event.routes.ts
event-venue,yes,no,yes,yes,yes,event.routes.ts
event-venue/master,yes,no,no,no,no,event.routes.ts
event-venues,yes,no,yes,yes,yes,event.routes.ts
event-venues/master,yes,no,no,no,no,event.routes.ts
event/deposit-actuals,no,no,no,no,yes,event.routes.ts
event/deposit-plans,no,no,no,no,yes,event.routes.ts
events,yes,yes,yes,yes,yes,event.routes.ts
events/deposit-actuals,no,no,no,no,yes,event.routes.ts
events/deposit-plans,no,no,no,no,yes,event.routes.ts
fixtree,yes,no,no,no,no,admin.routes.ts
folio/master,yes,no,no,no,no,folio.routes.ts
folio/quick-search,yes,no,no,no,no,folio.routes.ts
folio/search,yes,no,no,no,no,folio.routes.ts
folios/master,yes,no,no,no,no,folio.routes.ts
folios/quick-search,yes,no,no,no,no,folio.routes.ts
folios/search,yes,no,no,no,no,folio.routes.ts
force-bulk-logout,yes,no,yes,no,no,admin.routes.ts, auth.routes.ts
force-logout,no,yes,no,no,no,admin.routes.ts, auth.routes.ts
forget-password,no,no,yes,no,no,auth.routes.ts
front-desk,yes,yes,no,no,no,front-desk.routes.ts
front-desk/batch-check-out,no,no,yes,no,no,front-desk.routes.ts
front-desk/check-in,no,no,yes,no,no,front-desk.routes.ts
front-desk/check-out,no,no,yes,no,no,front-desk.routes.ts
front-desk/data,no,no,no,yes,no,front-desk.routes.ts
front-desk/folio,yes,no,no,no,no,front-desk.routes.ts
front-desk/shift,yes,no,no,no,no,front-desk.routes.ts
front-desk/shift-roster,yes,no,no,no,no,front-desk.routes.ts
front-desk/shift-rosters,yes,no,no,no,no,front-desk.routes.ts
front-desk/shift/end,no,no,yes,no,no,front-desk.routes.ts
front-desk/shift/start,no,no,yes,no,no,front-desk.routes.ts
front-desk/shifts,yes,no,no,no,no,front-desk.routes.ts
front-desk/shifts/end,no,no,yes,no,no,front-desk.routes.ts
front-desk/shifts/start,no,no,yes,no,no,front-desk.routes.ts
generic/:model,yes,yes,yes,yes,yes,admin.routes.ts
get-dashboard,yes,yes,no,no,no,master-system.routes.ts
guest,yes,yes,yes,yes,yes,user-guest.routes.ts
guest-profile/:id/folios,no,no,no,no,yes,folio.routes.ts
guest-profiles/:id/folios,no,no,no,no,yes,folio.routes.ts
guest-request,yes,no,no,no,no,extra.routes.ts
guest/autocomplete,yes,no,no,no,no,user-guest.routes.ts
guest/cities,yes,no,no,no,no,user-guest.routes.ts
guest/countries,yes,no,no,no,no,user-guest.routes.ts
guest/documents,no,no,no,no,yes,user-guest.routes.ts
guest/family,no,no,no,no,yes,user-guest.routes.ts
guest/guest-listing-report,yes,no,no,no,no,report.routes.ts, user-guest.routes.ts
guest/loyalty-cards,no,no,no,no,yes,user-guest.routes.ts
guest/preferences,no,no,no,no,yes,user-guest.routes.ts
guest/simple/list,yes,no,no,no,no,user-guest.routes.ts
guests,yes,yes,yes,yes,yes,user-guest.routes.ts
guests/autocomplete,yes,no,no,no,no,user-guest.routes.ts
guests/cities,yes,no,no,no,no,user-guest.routes.ts
guests/countries,yes,no,no,no,no,user-guest.routes.ts
guests/documents,no,no,no,no,yes,user-guest.routes.ts
guests/family,no,no,no,no,yes,user-guest.routes.ts
guests/loyalty-cards,no,no,no,no,yes,user-guest.routes.ts
guests/preferences,no,no,no,no,yes,user-guest.routes.ts
guests/simple/list,yes,no,no,no,no,user-guest.routes.ts
helper/check-last-user-folio,no,no,yes,no,no,master-system.routes.ts
helper/release-last-user-folio,no,no,yes,no,no,master-system.routes.ts
helper/replace-last-user-folio,no,no,yes,no,no,master-system.routes.ts
helper/task-notification,yes,no,no,no,no,master-system.routes.ts
helper/total-cancel-booking-engine,yes,no,no,no,no,master-system.routes.ts
holiday,yes,yes,yes,yes,yes,master-setup.routes.ts
holidays,yes,yes,yes,yes,yes,master-setup.routes.ts
hotel-competitor,yes,yes,yes,yes,yes,extra.routes.ts
hotel-competitors,yes,yes,yes,yes,yes,extra.routes.ts
housekeeping-setup,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping-setups,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping/checklist-history,yes,no,no,no,no,housekeeping.routes.ts
housekeeping/housekeeper-history,yes,no,no,no,no,housekeeping.routes.ts
housekeeping/room-status,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping/room-status/master,yes,no,no,no,no,housekeeping.routes.ts
housekeeping/roster-list,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping/rosters,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping/service-scheduler,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping/service-scheduler/housekeepers,yes,no,no,no,no,housekeeping.routes.ts
housekeeping/service-scheduler/shifts,yes,no,no,no,no,housekeeping.routes.ts
housekeeping/setups,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping/shift-roster,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping/stock,yes,no,yes,yes,yes,housekeeping.routes.ts
housekeeping/stocks,yes,no,no,no,no,housekeeping.routes.ts
housekeeping/work-order,yes,yes,yes,yes,yes,housekeeping.routes.ts
housekeeping/work-order/summary,yes,no,no,no,no,housekeeping.routes.ts
housekeeping/work-orders,yes,yes,yes,yes,yes,housekeeping.routes.ts
list,no,yes,no,no,no,admin.routes.ts
list/event-list,yes,no,no,no,no,event.routes.ts
log,yes,yes,yes,yes,yes,admin.routes.ts, master-system.routes.ts
log-audits,yes,no,no,no,no,master-system.routes.ts
login,no,no,yes,no,no,auth.routes.ts
logout,no,no,yes,no,no,auth.routes.ts
lost-and-found,yes,no,yes,yes,yes,concierge.routes.ts
lost-and-founds,yes,no,yes,yes,yes,concierge.routes.ts
master-capacity,yes,no,yes,yes,yes,event.routes.ts
master-hotel-competitor,yes,yes,yes,yes,yes,extra.routes.ts
master-hotel-competitors,yes,yes,yes,yes,yes,extra.routes.ts
master-inventory,yes,no,yes,yes,yes,event.routes.ts
master-layout,yes,no,yes,yes,yes,event.routes.ts
master-venue,yes,no,yes,yes,yes,event.routes.ts
master/countries,yes,no,no,no,no,report.routes.ts
menu,yes,no,no,no,no,admin.routes.ts
menu/get-parent-by-id-children,yes,yes,no,no,no,admin.routes.ts
menus,yes,yes,yes,yes,yes,admin.routes.ts
night-audit/audit,yes,no,no,no,no,master-system.routes.ts, report.routes.ts
night-audit/check-audit,no,no,yes,no,no,master-system.routes.ts
night-audit/no-show,yes,no,no,no,no,master-system.routes.ts
night-audit/over-stay,yes,no,no,no,no,master-system.routes.ts
night-audit/post-audit,no,no,yes,no,no,master-system.routes.ts
night-audit/room-change,yes,no,no,no,no,master-system.routes.ts
night-audit/shift,yes,no,no,no,no,master-system.routes.ts
other-guest,yes,yes,yes,yes,yes,content.routes.ts
overbooking,yes,yes,yes,yes,yes,extra.routes.ts
overbookings,yes,yes,yes,yes,yes,extra.routes.ts
payment-matrix,yes,no,yes,yes,yes,extra.routes.ts
permission,yes,yes,yes,yes,yes,admin.routes.ts
permissions,yes,yes,yes,yes,yes,admin.routes.ts
phone-book,yes,no,yes,yes,yes,concierge.routes.ts
phone-book-group,yes,no,yes,yes,yes,concierge.routes.ts
phone-book-group/tree,yes,no,no,no,no,concierge.routes.ts
phone-book-groups,yes,no,yes,yes,yes,concierge.routes.ts
phone-book-groups/tree,yes,no,no,no,no,concierge.routes.ts
phone-books,yes,no,yes,yes,yes,concierge.routes.ts
pos-matrix-sales,yes,yes,yes,yes,yes,master-system.routes.ts
post-code-budget,yes,yes,yes,yes,yes,master-system.routes.ts
profile/company,yes,yes,yes,yes,yes,company.routes.ts
profile/company-activity,yes,no,yes,yes,yes,company.routes.ts
profile/company-ar-transaction,yes,no,yes,no,yes,company.routes.ts
profile/company-contact,yes,no,yes,yes,yes,company.routes.ts
profile/company-contract-rate,yes,no,yes,yes,yes,rate.routes.ts
profile/company-department,yes,no,yes,yes,yes,company.routes.ts
profile/company-document,yes,no,yes,yes,yes,company.routes.ts
profile/company-folio,yes,no,yes,no,yes,company.routes.ts
profile/company-guest,yes,no,yes,no,yes,company.routes.ts
profile/company-statistic,yes,no,yes,no,yes,company.routes.ts
profile/company-v2,yes,no,no,no,no,company.routes.ts
profile/company/contactPerson,no,yes,no,no,no,company.routes.ts
profile/guest,yes,yes,yes,yes,yes,extra.routes.ts
profile/guest-document,yes,no,yes,no,yes,user-guest.routes.ts
profile/guest-family,yes,no,yes,no,yes,user-guest.routes.ts
profile/guest-family-member,yes,no,yes,yes,yes,user-guest.routes.ts
profile/guest-folio,yes,no,yes,no,yes,user-guest.routes.ts
profile/guest-history,yes,no,no,no,no,user-guest.routes.ts
profile/guest-loyalty-card,yes,no,yes,no,yes,user-guest.routes.ts
profile/guest-notes,yes,no,yes,yes,yes,user-guest.routes.ts
profile/guest-preference,yes,no,yes,no,yes,user-guest.routes.ts
profile/guest/update-batch,no,no,yes,no,no,user-guest.routes.ts
promotion,yes,yes,yes,yes,yes,rate.routes.ts
promotions,yes,yes,yes,yes,yes,rate.routes.ts
property,yes,no,yes,yes,yes,admin.routes.ts
property/auth,no,yes,no,no,no,admin.routes.ts
rall,yes,no,no,no,no,admin.routes.ts
rate,yes,yes,yes,yes,yes,rate.routes.ts
rate-config,no,no,no,yes,yes,rate.routes.ts
rate-configs,no,no,no,yes,yes,rate.routes.ts
rate-extra-bed,no,no,no,yes,yes,rate.routes.ts
rate-extra-beds,no,no,no,yes,yes,rate.routes.ts
rate-inclusive,no,no,no,yes,yes,rate.routes.ts
rate-inclusives,no,no,no,yes,yes,rate.routes.ts
rate-room,yes,no,no,yes,no,extra.routes.ts
rate/code-item,yes,no,yes,no,no,rate.routes.ts
rate/company-applicable,yes,no,yes,no,yes,rate.routes.ts
rate/extra-bed/inclusives,yes,no,yes,yes,yes,rate.routes.ts
rate/extra-beds,yes,no,yes,no,no,rate.routes.ts
rate/inclusives,yes,no,yes,no,no,rate.routes.ts
rate/promotion,yes,no,yes,no,yes,rate.routes.ts
rate/rate,yes,no,yes,yes,no,rate.routes.ts
rate/rate-link-listing,yes,no,yes,yes,no,rate.routes.ts
rate/rate-link-listing/apply,yes,no,yes,no,no,rate.routes.ts
rate/rate/store,no,no,yes,no,no,rate.routes.ts
rates,yes,yes,yes,yes,yes,rate.routes.ts
refresh,no,no,yes,no,no,auth.routes.ts
report-permission,yes,yes,yes,yes,yes,master-system.routes.ts
report-permission/permission,yes,no,no,no,no,master-system.routes.ts
report/{*path},yes,no,no,no,no,report.routes.ts
report/batch,yes,no,yes,no,no,report.routes.ts
report/batch/download-reports-batch,yes,no,no,no,no,report.routes.ts
report/batch/folio/:id,no,yes,no,no,no,report.routes.ts
report/company-profile,yes,no,no,no,no,report.routes.ts
report/event/:id,no,yes,no,no,no,report.routes.ts
reservation,yes,yes,yes,yes,yes,reservation.routes.ts
Reservation,no,no,no,no,no,
reservation-item,yes,no,no,yes,no,reservation.routes.ts
reservation/:folioId/items,no,no,no,yes,yes,reservation.routes.ts
reservation/arrivals,yes,no,no,no,no,reservation.routes.ts
reservation/available-room,yes,no,no,no,no,reservation.routes.ts
reservation/calendar,yes,no,no,no,no,reservation.routes.ts
reservation/charge,no,no,yes,no,no,reservation.routes.ts
reservation/code-item,yes,no,yes,no,no,reservation.routes.ts
reservation/departures,yes,no,no,no,no,reservation.routes.ts
reservation/in-house,yes,no,no,no,no,reservation.routes.ts
reservation/inclusive,yes,no,no,no,no,reservation.routes.ts
reservation/ledger/move,no,no,no,yes,no,reservation.routes.ts
reservation/master,yes,no,no,no,no,reservation.routes.ts
reservation/masterInclusive,yes,no,no,no,no,reservation.routes.ts
reservation/on-check,no,no,yes,no,no,reservation.routes.ts
reservation/package-by-rate-id,yes,no,no,no,no,reservation.routes.ts
reservation/pending,yes,no,no,no,no,reservation.routes.ts
reservation/rate,yes,no,no,no,no,reservation.routes.ts
reservation/rate-by-company-id,yes,no,no,no,no,reservation.routes.ts
reservation/room-git,yes,no,no,no,no,reservation.routes.ts
reservation/subfolio,no,yes,no,no,no,reservation.routes.ts
reservation/update-bulk,no,no,yes,no,no,reservation.routes.ts
